date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-22,Central Park,18:14,3,Montana Jazz,"UK LAY Central Park Trap 3,4",10,110,277m,D2,2,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Central Park,18:14,4,Rudy Milly,"UK LAY Central Park Trap 3,4",10,110,277m,D2,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Central Park,18:31,4,Knockroe Lucy,"UK LAY Central Park Trap 3,4",10,110,491m,HP,3,3,4/1,5.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Central Park,18:48,3,Da Prophet,"UK LAY Central Park Trap 3,4",10,110,277m,D4,2,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Central Park,18:48,4,Hollyoak Peace,"UK LAY Central Park Trap 3,4",10,110,277m,D4,OUTSIDE_TOP3,1,2/1,3.0,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 1, 2/1; decimal 3.00)"
2026-09-22,Central Park,19:06,3,Insane Ace,"UK LAY Central Park Trap 3,4",10,110,277m,D3,3,3,5/1,6.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Central Park,19:22,4,Butterbridge Seb,"UK LAY Central Park Trap 3,4",10,110,277m,D1,1,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Central Park,19:39,3,Snowdon Mel,"UK LAY Central Park Trap 3,4",10,110,491m,A1,1,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Central Park,19:39,4,Insane Gee Two,"UK LAY Central Park Trap 3,4",10,110,491m,A1,2,4,9/2,5.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Central Park,19:56,4,My Jaspie,"UK LAY Central Park Trap 3,4",10,110,277m,D1,1,1,15/8,2.875,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Central Park,20:31,3,Autumn Mary,"UK LAY Central Park Trap 3,4",10,110,277m,D1,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Central Park,20:47,4,Bower Kerry,"UK LAY Central Park Trap 3,4",10,110,491m,A1,2,2,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Central Park,21:04,3,Speedy Uso,"UK LAY Central Park Trap 3,4",10,110,277m,D2,1,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Central Park,21:04,4,Ferndale Free,"UK LAY Central Park Trap 3,4",10,110,277m,D2,2,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Monmore,16:04,2,Prove Em Wrong,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,3,2,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Monmore,16:04,5,Remarkable Scamp,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,2,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Monmore,16:42,2,Aero Candy,"UK LAY Monmore Trap 2,5,6",4,100,630m,S3,2,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Monmore,16:42,6,Swift Eaglestone,"UK LAY Monmore Trap 2,5,6",4,100,630m,S3,3,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Sunderland,18:53,4,Comawn Ginny,UK LAY Sunderland Trap 4,9,100,450m,A8,1,1,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Sunderland,19:27,4,Level Dubai,UK LAY Sunderland Trap 4,9,100,450m,A6,3,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Sunderland,19:44,4,That Is It,UK LAY Sunderland Trap 4,9,100,450m,A3,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Sunderland,20:54,4,Bawn Whisper,UK LAY Sunderland Trap 4,9,100,450m,A6,3,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Sunderland,21:11,4,Sooty View,UK LAY Sunderland Trap 4,9,100,261m,D5,OUTSIDE_TOP3,1,100/30,4.3333,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 1, 100/30; decimal 4.33)"
2026-09-22,Towcester,18:26,1,Salacres Boris,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,3,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Towcester,18:26,6,Knockard Joe,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,1,1,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Towcester,18:42,6,Kranky Katie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,2,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Towcester,18:59,5,Hitthelids Bono,"UK LAY Towcester Trap 1,5,6",4,100,270m,D5,3,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Towcester,19:16,5,Moredramakirstie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A7,OUTSIDE_TOP3,3,11/2,6.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 3, 11/2; decimal 6.50)"
2026-09-22,Towcester,19:33,1,Salacres Merkel,"UK LAY Towcester Trap 1,5,6",4,100,500m,A5,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Towcester,19:33,6,Givemethemoney,"UK LAY Towcester Trap 1,5,6",4,100,500m,A5,1,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Towcester,20:07,1,Mustang Razor,"UK LAY Towcester Trap 1,5,6",4,100,270m,D1,2,2,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Towcester,20:07,6,Jazzy Ace,"UK LAY Towcester Trap 1,5,6",4,100,270m,D1,1,1,4/6,1.6667,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Towcester,20:24,1,Holmleigh Julie,"UK LAY Towcester Trap 1,5,6",4,100,460m,B5,2,1,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-22,Towcester,20:24,6,Quest Master,"UK LAY Towcester Trap 1,5,6",4,100,460m,B5,1,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Towcester,21:16,5,Be More Ruthless,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,3,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Towcester,21:16,6,Salacres Brendan,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,1,1,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Valley,13:49,3,Home Colleen,"UK LAY Valley Trap 1,3,4",4,100,260m,D5,3,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Valley,14:08,1,Indian Night,"UK LAY Valley Trap 1,3,4",4,100,260m,D6,3,2,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Valley,14:08,3,One Sizzler,"UK LAY Valley Trap 1,3,4",4,100,260m,D6,1,1,11/10,2.1,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Valley,14:26,1,Bluejig Aoife,"UK LAY Valley Trap 1,3,4",4,100,460m,A3,1,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Valley,14:26,4,Ashway Danny,"UK LAY Valley Trap 1,3,4",4,100,460m,A3,3,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Valley,14:44,1,Geneva Josie,"UK LAY Valley Trap 1,3,4",4,100,260m,D4,3,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Valley,15:22,3,Back Ofthe Net,"UK LAY Valley Trap 1,3,4",4,100,260m,D3,3,3,6/1,7.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Valley,16:37,1,Inner City,"UK LAY Valley Trap 1,3,4",4,100,260m,D3,OUTSIDE_TOP3,2,7/2,4.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 2, 7/2; decimal 4.50)"
2026-09-22,Valley,16:37,3,Dark Trooper,"UK LAY Valley Trap 1,3,4",4,100,260m,D3,3,4,4/1,5.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-22,Valley,17:46,1,Texas Dolly,"UK LAY Valley Trap 1,3,4",4,100,260m,D5,1,1,11/8,2.375,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-22,Valley,17:46,4,Tobergal Denise,"UK LAY Valley Trap 1,3,4",4,100,260m,D5,3,3,5/1,6.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
