date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-23,Harlow,10:32,2,Moaning Ross,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,2,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,10:32,4,Market,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,2,9/2,5.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 2, 9/2; decimal 5.50)"
2026-09-23,Harlow,10:48,2,Rosstemple Cody,"UK LAY Harlow Trap 2,4",12,100,238m,D5,2,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-23,Harlow,10:48,4,Catunda Remi,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-23,Harlow,11:04,2,Faces And Places,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,5,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,11:04,4,Skinny Pete,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,6,8/1,9.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,11:21,2,Moaning Mccoist,"UK LAY Harlow Trap 2,4",12,100,238m,D4,3,4,5/1,6.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,11:21,4,Blackstone Story,"UK LAY Harlow Trap 2,4",12,100,238m,D4,OUTSIDE_TOP3,6,20/1,21.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,12:29,2,Mud Dog,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,5,19/2,10.5,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,12:29,4,Crying Jonesy,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,4,7/2,4.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (7/2; decimal 4.50); retained absent converging danger evidence
2026-09-23,Harlow,13:19,2,Be The Key,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,5,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,13:19,4,Brandywell King,"UK LAY Harlow Trap 2,4",12,100,415m,A7,2,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-23,Harlow,13:37,2,Soldeu,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,13:37,4,Rathbally Bolger,"UK LAY Harlow Trap 2,4",12,100,238m,D5,2,4,9/2,5.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-23,Harlow,13:54,2,Adamant Breeze,"UK LAY Harlow Trap 2,4",12,100,415m,A7,2,2,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-23,Harlow,13:54,4,Brindle Bomber,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,5,9/1,10.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,14:11,2,Moaning Cashout,"UK LAY Harlow Trap 2,4",12,100,238m,D4,OUTSIDE_TOP3,5,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,14:11,4,Fridays Ariana,"UK LAY Harlow Trap 2,4",12,100,238m,D4,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,18:11,2,Clodaghs Gift,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,4,7/1,8.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,18:11,4,Meenagh Memphis,"UK LAY Harlow Trap 2,4",12,100,238m,D5,2,2,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-23,Harlow,18:29,2,Rings Ruby,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,6,8/1,9.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,18:29,4,Robbies King,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,1,7/2,4.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,19:04,2,Masterstown Rena,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,5,16/1,17.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,19:04,4,Mcgregor,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,6,18/1,19.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,19:24,2,Hillcroft Mick,"UK LAY Harlow Trap 2,4",12,100,415m,A7,1,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-23,Harlow,19:24,4,Miss Pepsi,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-23,Harlow,19:42,2,Keefill Coco,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,2,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,19:42,4,My Bella Rose,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,4,6/1,7.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (6/1; decimal 7.00); retained absent converging danger evidence
2026-09-23,Harlow,20:16,2,Rallying Wood,"UK LAY Harlow Trap 2,4",12,100,238m,D4,OUTSIDE_TOP3,5,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,20:16,4,Fluff The Punt,"UK LAY Harlow Trap 2,4",12,100,238m,D4,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-23,Harlow,20:52,2,Yo Savana,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,3,5/1,6.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,20:52,4,Random Izzy,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,3,5/1,6.0,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-09-23,Harlow,21:09,2,Howsyerday Dolly,"UK LAY Harlow Trap 2,4",12,100,415m,A7,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-23,Harlow,21:09,4,Tyford Pet,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,4,11/2,6.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (11/2; decimal 6.50); retained absent converging danger evidence
2026-09-23,Harlow,21:26,2,Gothic Cheyenne,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,6,19/2,10.5,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Harlow,21:26,4,Joyces Sadie,"UK LAY Harlow Trap 2,4",12,100,238m,D5,1,1,11/10,2.1,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-23,Kinsley,11:46,5,Tickets Katie,"UK LAY Kinsley Trap 5,6",4,100,462m,A7,OUTSIDE_TOP3,5,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Kinsley,11:46,6,Inclement Magic,"UK LAY Kinsley Trap 5,6",4,100,462m,A7,OUTSIDE_TOP3,6,19/2,10.5,OUTSIDE_TOP3,RETAINED,,
2026-09-23,Kinsley,12:53,5,Twisted Logic,"UK LAY Kinsley Trap 5,6",4,100,268m,D3,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
