date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-08-19,Doncaster,15:49,6,Easy Stump,"UK LAY Doncaster Trap 2,6",6,120,275m,D3,1,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-19,Harlow,10:48,2,Tinks This,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,3,9/2,5.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 3, 9/2; decimal 5.50)"
2026-08-19,Harlow,10:48,4,Random Lou,"UK LAY Harlow Trap 2,4",12,100,238m,D5,2,4,5/1,6.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-19,Harlow,12:29,2,Adamant Breeze,"UK LAY Harlow Trap 2,4",12,100,238m,D5,1,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-19,Harlow,13:37,2,Moaning Mccoist,"UK LAY Harlow Trap 2,4",12,100,238m,D4,3,3,6/1,7.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-08-19,Harlow,13:54,2,Comer Canal,"UK LAY Harlow Trap 2,4",12,100,415m,A7,3,3,11/2,6.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-08-19,Harlow,14:11,2,Crystal Luna,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-08-19,Harlow,14:11,4,Catunda Remi,"UK LAY Harlow Trap 2,4",12,100,238m,D5,1,2,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-19,Harlow,18:11,2,My Fancy Ways,"UK LAY Harlow Trap 2,4",12,100,415m,A7,2,2,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-19,Harlow,18:11,4,Syls Angel,"UK LAY Harlow Trap 2,4",12,100,415m,A7,3,3,5/1,6.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-08-19,Harlow,19:42,4,Hawkfield Impact,"UK LAY Harlow Trap 2,4",12,100,238m,D5,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
