Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Rapido Ramona,WIN,19/08/2026 15:11,LAY,1,6,120,FALSE
Daily Strategy Filter,Savana Brendo,WIN,19/08/2026 15:11,LAY,1,6,120,FALSE
Daily Strategy Filter,Cockneys Zeus,WIN,19/08/2026 15:49,LAY,1,6,120,FALSE
Daily Strategy Filter,Alfies Jet,WIN,19/08/2026 11:21,LAY,1,12,100,FALSE
Daily Strategy Filter,Fridays Ariana,WIN,19/08/2026 11:21,LAY,1,12,100,FALSE
Daily Strategy Filter,Come On Babe,WIN,19/08/2026 12:29,LAY,1,12,100,FALSE
Daily Strategy Filter,Shianns Blue,WIN,19/08/2026 13:37,LAY,1,12,100,FALSE
Daily Strategy Filter,Bambina,WIN,19/08/2026 13:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Sugar Tiger,WIN,19/08/2026 19:42,LAY,1,12,100,FALSE
Daily Strategy Filter,Wilbys Flyer,WIN,19/08/2026 20:16,LAY,1,12,100,FALSE
Daily Strategy Filter,Howsyerday Dolly,WIN,19/08/2026 21:09,LAY,1,12,100,FALSE
Daily Strategy Filter,Stormy Bonito,WIN,19/08/2026 12:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Dunquin Brendan,WIN,19/08/2026 12:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Denton Girl,WIN,19/08/2026 12:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Aero Maisie,WIN,19/08/2026 12:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Return Fire,WIN,19/08/2026 12:42,LAY,1,4,100,FALSE
Daily Strategy Filter,Oblivion,WIN,19/08/2026 12:42,LAY,1,4,100,FALSE
Daily Strategy Filter,Suave Echo,WIN,19/08/2026 12:42,LAY,1,4,100,FALSE
Daily Strategy Filter,Fourpenny Jack,WIN,19/08/2026 13:46,LAY,1,4,100,FALSE
Daily Strategy Filter,My Premiercounty,WIN,19/08/2026 13:46,LAY,1,4,100,FALSE
Daily Strategy Filter,Dairyland Roxy,WIN,19/08/2026 11:41,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Aint Got No Cash,WIN,19/08/2026 19:11,LAY,1,4,100,FALSE
Daily Strategy Filter,Moaning Dolly,WIN,19/08/2026 19:11,LAY,1,4,100,FALSE
Daily Strategy Filter,Hollywood Lilly,WIN,19/08/2026 20:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Coolemore South,WIN,19/08/2026 12:03,LAY,1,4,100,FALSE
Daily Strategy Filter,Salacres Farage,WIN,19/08/2026 12:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Mums Image,WIN,19/08/2026 12:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Choices Jess,WIN,19/08/2026 13:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Fabulous Lara,WIN,19/08/2026 13:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Choices Bev,WIN,19/08/2026 13:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Dublin Jimmy,WIN,19/08/2026 13:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Wessex Duchess,WIN,19/08/2026 14:14,LAY,1,4,100,FALSE
Daily Strategy Filter,Trapstyle Wee,WIN,19/08/2026 14:14,LAY,1,4,100,FALSE
Daily Strategy Filter,Crokers Gloria,WIN,19/08/2026 13:49,LAY,1,4,100,FALSE
Daily Strategy Filter,Afan Louie,WIN,19/08/2026 14:08,LAY,1,4,100,FALSE
Daily Strategy Filter,Hawkfield Cassie,WIN,19/08/2026 14:44,LAY,1,4,100,FALSE
Daily Strategy Filter,Home Colleen,WIN,19/08/2026 14:44,LAY,1,4,100,FALSE
Daily Strategy Filter,Dry Morning,WIN,19/08/2026 14:44,LAY,1,4,100,FALSE
Daily Strategy Filter,Hawkfield Jackie,WIN,19/08/2026 15:03,LAY,1,4,100,FALSE
Daily Strategy Filter,Aldean Spice,WIN,19/08/2026 15:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Playdate Jasper,WIN,19/08/2026 16:18,LAY,1,4,100,FALSE
Daily Strategy Filter,Melbury Loki,WIN,19/08/2026 18:31,LAY,1,6,50,FALSE
Daily Strategy Filter,Now Listen Honey,WIN,19/08/2026 20:13,LAY,1,6,50,FALSE
