Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-16,Doncaster,14:33,1403022,https://www.timeform.com/greyhound-racing/racecards/doncaster/1433/2026-09-16/1403022,275m,D5,Tiktok Express,Fond Favourite,Skidrow Breeze,Tiktok Express continues to run operate somewhere near current best and has a fair chance. Fond Favourite can emerge best of the rest.,"2/1 Tiktok Express, 11/5 Fond Favourite, 9/4 Hollyhill Mojo, 9/2 Skidrow Breeze, 10/1 Bob Jezabelle",TIKTOK EXPRESS Tiktok Express has won no races after leading at the first bend. Bet →,COMPLETE,
2026-09-16,Doncaster,14:52,1403023,https://www.timeform.com/greyhound-racing/racecards/doncaster/1452/2026-09-16/1403023,275m,D4,Dollar Jezabelle,Easy Find,Another Ace,Dollar Jezabelle's overall form puts in it the frame but will need to avoid any trouble. Easy Find looks set for a minor role.,"13/8 Dollar Jezabelle, 7/4 Another Ace, 11/4 Easy Find, 4/1 Glens Lucky Dip, 16/1 Cockneys Gunner",COCKNEYS GUNNER Cockneys Gunner has finished in the first two in 8.33% of races from this class. Bet →,COMPLETE,
2026-09-16,Doncaster,15:11,1403024,https://www.timeform.com/greyhound-racing/racecards/doncaster/1511/2026-09-16/1403024,275m,D2,Cockneys Zeus,Jimelle,Tanny Jezabelle,Cockneys Zeus is proving consistent and sets a fair standard. Jimelle won't be too far behind.,"9/4 Tanny Jezabelle, 5/2 Cockneys Zeus, 3/1 Jimelle, 4/1 Maybe Sydney, 11/2 Easy Stump",TANNY JEZABELLE Tanny Jezabelle has won 60% of races if in front at the first bend. Bet →,COMPLETE,
2026-09-16,Doncaster,15:29,1403025,https://www.timeform.com/greyhound-racing/racecards/doncaster/1529/2026-09-16/1403025,450m,B3,Avenue Time,Droopys Trendy,Thirty Bear,Avenue Time is well in front of these timewise and there is no need to look elsewhere for the winner. Droopys Trendy will have run well to finish second.,"4/9 Avenue Time, 11/4 Droopys Trendy, 4/1 Thirty Bear, 17/2 Barmoney Magic, 9/1 Tommys Flavour",DROOPYS TRENDY Droopys Trendy has won 16.67% of races despite being in the last pair at the first bend. Bet →,COMPLETE,
2026-09-16,Doncaster,15:49,1403026,https://www.timeform.com/greyhound-racing/racecards/doncaster/1549/2026-09-16/1403026,450m,B5,Flosses Mcqueen,Footfield Nala,Lizzy Jezabelle,Flosses Mcqueen has put together a solid series of efforts lately and is much the one to aim at. Footfield Nala appeals most of the others.,"2/1 Flosses Mcqueen, 9/4 Lizzy Jezabelle, 3/1 Footfield Nala, 11/2 Mustang Marykate, 11/2 Run In Water",LIZZY JEZABELLE Lizzy Jezabelle has won 86.67% of races if in front at the second bend. Bet →,COMPLETE,
2026-09-16,Doncaster,16:07,1403027,https://www.timeform.com/greyhound-racing/racecards/doncaster/1607/2026-09-16/1403027,450m,B5,Zari Hunter,Hasty Sam,Cockney King Kev,Zari Hunter is in a good run of form and just about sets the standard. Hasty Sam is the most likely runner up.,"5/4 Hasty Sam, 100/30 Zari Hunter, 9/2 Cockney King Kev, 5/1 Sporting Moana, 10/1 Easy Chloe, 12/1 Calgray Flyer",ZARI HUNTER Zari Hunter has won 72.73% of races if in front at the second bend. Bet →,COMPLETE,
2026-09-16,Doncaster,16:26,1403028,https://www.timeform.com/greyhound-racing/racecards/doncaster/1626/2026-09-16/1403028,275m,D3,Rumble Strip,Killieford Zoe,Cockneys Zara,Rumble Strip looks marginally the best of these but is likely to need to put in a trouble-free round. Killieford Zoe has the best prospects of the rest.,"5/2 Rumble Strip, 7/2 Killieford Zoe, 7/2 Cockneys Zara, 5/1 Harlequin Zippy, 11/2 Romantic Geezer, 6/1 Shanahee Brian",KILLIEFORD ZOE Killieford Zoe has won 16.22% of races despite being in the last pair at the first bend. Bet →,COMPLETE,
2026-09-16,Doncaster,16:44,1403029,https://www.timeform.com/greyhound-racing/racecards/doncaster/1644/2026-09-16/1403029,275m,D2,Mia Jezabelle,Greenhill Mac,Ballymac Hanson,Mia Jezabelle has slender claims but can't afford any slip ups. Greenhill Mac is also likely to be in the mix.,"5/4 Mia Jezabelle, 7/2 Ballymac Hanson, 7/2 Silver Spec, 9/2 Greenhill Mac, 5/1 Jazza Darcy",MIA JEZABELLE Mia Jezabelle has won 80% of races if in front at the second bend. Bet →,COMPLETE,
2026-09-16,Doncaster,17:03,1403030,https://www.timeform.com/greyhound-racing/racecards/doncaster/1703/2026-09-16/1403030,450m,B7,Gordons Bennett,Ballymac Nellie,Amazing Emperor,Gordons Bennett's recent runs have had a lot to like about them and should make a bold show. Ballymac Nellie looks set to play the lead supporting role.,"10/11 Gordons Bennett, 11/10 Ballymac Nellie, 7/2 Amazing Emperor, 10/1 Skilled Warrior, 16/1 Alno Dee",AMAZING EMPEROR Amazing Emperor has won all its races if in front at the second bend. Bet →,COMPLETE,
2026-09-16,Doncaster,17:21,1403031,https://www.timeform.com/greyhound-racing/racecards/doncaster/1721/2026-09-16/1403031,275m,D3,Skytrain,Cockney Tan,Rapido Ramona,Skytrain has run plenty of good races recently and is the one they all have to beat. Cockney Tan can pick up the pieces.,"7/4 Skytrain, 9/4 Cockney Tan, 5/2 Rapido Ramona, 7/2 Untold Kuna, 14/1 Panaroma",PANAROMA Panaroma has won only 40% of races after leading at the second bend. Bet →,COMPLETE,
